#idx,nombre,dir,lat,lng,precio_rango,pts_comida,pts_servicio,pts_ambiente,cnt_reviews,cocina,img
1,Cantina don Chicho en Palermo,Honduras 5710,-34.5833161,-58.4375902,75,29,28,28,22,Italiana,cantina-don-chicho-en-palermo-NOYeL-ec64ac61-7f16-41cb-bda4-be57e26617d7
2,Rock & Ribs,Libertador 3883 Arco12,-34.5709159,-58.4221296,75,29,29,29,10,Norteamericana,rock-ribs-vD75G-fa33fd43-1fd1-4669-9bd4-2995b4ccb779
3,Sarkis,Thames 1101,-34.591318571907,-58.43631299837,50,28,23,25,1565,"Arabe, Armenia",photo_48_1.jpg-fdcd7a5b-f4e4-11e4-be7b-d3500e263ce1_s0.jpg
4,Osaka Palermo,Soler 5608,-34.580738834843,-58.432616084638,100,,24,26,620,"Japonesa Sushi, Peruana",photo_2116_1.jpg-fdcfeb8a-f4e4-11e4-be7b-d3500e263ce1_s0.jpg
5,Taj Mahal,Nicaragua 4345,-34.590139,-58.422778,100,28,28,26,392,India,photo_4191_1.jpg-fdd40a82-f4e4-11e4-be7b-d3500e263ce1_s0.jpg
6,Alé Alé Cooperativa,José Antonio Cabrera 4270,-34.5950894,-58.4251766,75,28,25,28,208,Parrilla,Ale-Ale-Cooperativa-15242-2ff86451-912f-2848-b697-56eac10793fe
7,Perón Perón restobar,Angel Carranza 2225,-34.5785023,-58.4337199,75,28,25,25,195,Casera,photo_11890_1.jpg-fdd62d49-f4e4-11e4-be7b-d3500e263ce1_s0.jpg
8,Tenkuu Sushi & Cocina Asiática,Cabello 3370,-34.581482,-58.408371,100,28,27,26,180,Japonesa Sushi,photo_6482_2.jpg-fdd4328d-f4e4-11e4-be7b-d3500e263ce1_s0.jpg
9,U.G.A.B. Cena de los viernes y sábados,Armenia 1322,-34.591924734439,-58.431166468483,100,28,26,22,169,Armenia,photo_827_1.jpg-fdce6527-f4e4-11e4-be7b-d3500e263ce1_s0.jpg
10,Freud & Fahler,Cabrera 5300,-34.588092,-58.434875,100,28,27,27,167,De Autor,photo_10064_1.jpg-fdd59049-f4e4-11e4-be7b-d3500e263ce1_s0.jpg
11,Elebar,Nicaragua 5001,-34.585223824202,-58.428816447635,75,28,26,27,165,De Autor,Elebar-3564-53859414-297a-4dd8-992b-66a1d17bf8cc
12,Sakura,Gorriti 4116,-34.595238,-58.423112,75,28,26,27,157,Japonesa Sushi,Sakura-10058-be30c304-740a-71c9-d36b-571f6501148f
13,Hanan,Julián Álvarez 1272,-34.594596,-58.42665,75,28,20,27,139,Arabe,photo_42_1.jpg-fdcd7a57-f4e4-11e4-be7b-d3500e263ce1_s0.jpg
14,A nos amours,Gorriti 4488,-34.592915,-58.425974,75,28,23,26,130,"Francesa, Italiana",photo_6738_1.jpg-fdd458b8-f4e4-11e4-be7b-d3500e263ce1_s0.jpg
15,Mumbai,Honduras 5684,-34.5836172,-58.4371565,75,28,27,26,119,India,mumbai-uzs24-e6af0cf0-9fc2-f953-e3bb-571634f80a17
16,L´ Adesso,Fray Justo Santamaría de Oro 2047,-34.5837643,-58.4283519,100,28,28,27,115,Italiana,photo_14960_1.jpg-fdd80180-f4e4-11e4-be7b-d3500e263ce1_s0.jpg
17,Buenos Aires verde,Gorriti 5657,-34.584505,-58.437801,75,28,26,27,110,"Natural, Vegetariana",photo_4088_1.jpg-fdd40a36-f4e4-11e4-be7b-d3500e263ce1_s0.jpg
18,Mishiguene,Lafinur 3368,-34.5768115,-58.4120324,100,28,26,17,56,"Judía, De Autor",Mishiguene-15330-2b30b558-61fb-924b-e558-56f1a8bf4bc8
19,Lo De Lucho,Bonpland 1944,-34.5813732,-58.4352473,75,28,24,26,23,Parrilla,lo-de-lucho-gabpn-c31de46c-aa5d-bb92-a046-571783ad3d3d
20,Conquer,Costa Rica 5863,-34.6036844,-58.3815591,75,28,28,27,15,"De Autor, Sudeste Asiático, Nórdica",conquer-42Tem-a1384536-c3eb-4f73-870c-b53da6c2ded9
21,De Rosa Pizzeria,Lafinur 3275,-34.577889,-58.412651,50,28,28,28,5,Pizza,de-rosa-pizzeria-6HmnI-b08317d0-2d86-492e-9b6d-c69cc5abed8e
22,Sudestada,Guatemala 5602,-34.580250621877,-58.431939742428,75,27,22,25,366,Sudeste Asiático,photo_93_1.jpg-fdcd7a97-f4e4-11e4-be7b-d3500e263ce1_s0.jpg
23,Koh Lanta,Gorriti 4647,-34.5918116,-58.4274181,75,27,26,24,300,Sudeste Asiático,photo_3348_1.jpg-fdd2362d-f4e4-11e4-be7b-d3500e263ce1_s0.jpg
24,Il Gran Caruso,El Salvador 5805,-34.581665,-58.43747,100,27,28,23,264,"Italiana, Mediterránea, Pescados Y Mariscos",Il-Gran-Caruso-4072-d87a69c3-0783-ddf0-2a60-55c0d4eb907e
25,Arte de Mafia,El Salvador 4975,-34.587466917509,-58.429847851002,50,27,26,27,231,"Italiana, Casera, Mediterránea",photo_698_1.jpg-fdce648f-f4e4-11e4-be7b-d3500e263ce1_s0.jpg
26,Vrindavan,Humboldt 1721,-34.5846997,-58.4351836,50,27,26,22,221,India,photo_12758_1.jpg-fdd67a7d-f4e4-11e4-be7b-d3500e263ce1_s0.jpg
27,Nemo,Cabello 3672,-34.580419486961,-58.411407332405,75,,20,22,203,"Mediterránea, Pescados Y Mariscos, Japonesa Sushi",photo_154_4.jpg-fdcda116-f4e4-11e4-be7b-d3500e263ce1_s0.jpg
28,Social Sushi,Gurruchaga 1776,-34.5881899,-58.4274487,,,27,26,177,"De Autor, Japonesa Sushi",photo_14266_1.jpg-fdd6f061-f4e4-11e4-be7b-d3500e263ce1_s0.jpg
29,Dashi,Fitz Roy 1613,-34.584738515702,-58.437052772435,100,27,27,26,162,"Japonesa Sushi, Peruana",photo_68_1.jpg-fdcd7a6b-f4e4-11e4-be7b-d3500e263ce1_s0.jpg
30,Sunae Asian Cantina,Humboldt 1626,-34.5854311,-58.4360237,75,27,23,25,158,Sudeste Asiático,sunae-asian-cantina-0ljmf-a7a5e92c-1319-306b-b6aa-570e361af834
